"System","Type","Name","SubName","Datatype","Description"
"BusinessCentral","company","businessProfileId","","string","Specifies the Business Profile ID linked to the company."
"BusinessCentral","company","displayName","","string","Specifies the company's name. This name will appear on all sales documents for the company."
"BusinessCentral","company","id","","string","The unique ID of the company. Non-editable."
"BusinessCentral","company","name","","string","Represents the company's name."
"BusinessCentral","company","systemVersion","","string","Specifies the internal version of the company."
"BusinessCentral","countriesregions","@odata.etag","","string",""
"BusinessCentral","countriesregions","addressFormat","","string","Specifies the format of the address that is displayed on external-facing documents. You link an address format to a country/region code so that external-facing documents based on cards or documents with that country/region code use the specified address format."
"BusinessCentral","countriesregions","code","","string","The code of the country/region."
"BusinessCentral","countriesregions","displayName","","string","Specifies the country/region's name. This name will appear on all sales documents for the country/region."
"BusinessCentral","countriesregions","id","","string","The unique ID of the country/region. Non-editable."
"BusinessCentral","countriesregions","lastModifiedDateTime","","string","The last datetime the country/region was modified. Read-Only."
"BusinessCentral","currencies","@odata.etag","","string",""
"BusinessCentral","currencies","amountDecimalPlaces","","string","Specifies the number of decimal places the system will display on amounts for this currency."
"BusinessCentral","currencies","amountRoundingPrecision","","decimal","Specifies the size of the interval to be used when rounding amounts for this currency. Property can be decimal or integer."
"BusinessCentral","currencies","code","","string","The code of the currency."
"BusinessCentral","currencies","displayName","","string","Specifies the currency's name. This name will appear on all sales documents for the currency."
"BusinessCentral","currencies","id","","string","The unique ID of the currency. Non-editable."
"BusinessCentral","currencies","lastModifiedDateTime","","string","The last datetime the currency was modified. Read-Only."
"BusinessCentral","currencies","symbol","","string","Specifies a graphical representation of the unit of measure."
"BusinessCentral","customers","@odata.etag","","string",""
"BusinessCentral","customers","address.city","","string","Postal address city."
"BusinessCentral","customers","address.countryLetterCode","","string","Postal address country letter code (two character word)"
"BusinessCentral","customers","address.postalCode","","string","Postal address post code"
"BusinessCentral","customers","address.state","","string","Postal address state."
"BusinessCentral","customers","address.street","","string","Postal address street."
"BusinessCentral","customers","blocked","","string","Specifies which transactions with the customer cannot be posted. It can be ' ', 'Ship', 'Invoice' or 'All'."
"BusinessCentral","customers","currencyCode","","string","The default currency code for the customer."
"BusinessCentral","customers","currencyId","","string","Specifies which currency the customer uses."
"BusinessCentral","customers","displayName","","string","Specifies the customer's name. This name will appear on all sales documents for the customer."
"BusinessCentral","customers","email","","string","Specifies the customer's email address."
"BusinessCentral","customers","id","","string","The unique ID of the customer. Non-editable."
"BusinessCentral","customers","lastModifiedDateTime","","string","The last datetime the customer was modified. Read-Only."
"BusinessCentral","customers","number","","string","Specifies the number of the customer."
"BusinessCentral","customers","paymentMethodId","","string","Specifies which payment method the customer uses."
"BusinessCentral","customers","paymentTermsId","","string","Specifies which payment term the customer uses."
"BusinessCentral","customers","phoneNumber","","string","Specifies the customer's telephone number."
"BusinessCentral","customers","shipmentMethodId","","string","Specifies which shipment method the customer uses."
"BusinessCentral","customers","taxAreaDisplayName","","string","Specified the display name of the tax area the customer belongs to."
"BusinessCentral","customers","taxAreaId","","string","Specifies which tax area the customer belongs to."
